membership_id,item_id,total_price,total_weight
Bailey_255ab,item2,1180,72
Wagner_83f4e,item20,370,20
Kline_e724e,item19,540,16
Freeman_35a3d,item11,520,24
Bailey_255ab,item9,120,6
Lee_d3d5c,item10,180,8
Garcia_6967c,item10,500,24
Shea_abeb3,item1,1140,36
Simpson_7383f,item4,1690,42
Lawson_c755d,item12,250,12
Stewart_40f40,item8,890,40
Shea_abeb3,item1,1270,36
King_4ae33,item1,1170,36
Shea_abeb3,item11,170,8
Hopkins_56d12,item7,380,24
Hill_bd6cc,item5,530,36
Baker_4cd37,item6,940,30
Hamilton_f2276,item8,430,20
Tran_40aaa,item13,1130,60
Tran_40aaa,item7,110,8
Stewart_40f40,item19,1160,32
Lawson_c755d,item7,120,8
Bailey_255ab,item3,1630,60
Wilson_6845c,item13,1090,60
Hill_bd6cc,item17,60,4
Lee_d3d5c,item1,570,18
Lawson_c755d,item6,850,30
Lawson_c755d,item2,1290,72
Perez_7a5c3,item7,230,16
Jimenez_5ed59,item7,130,8
Roy_57ef7,item16,1130,54
Perez_7a5c3,item11,340,16
Jimenez_5ed59,item2,1300,72
Jones_f903f,item1,630,18
Robertson_c09d4,item12,510,24
Flynn_066c3,item10,190,8
Phillips_608c9,item16,350,18
Lee_d3d5c,item3,1090,40
Garcia_6967c,item14,1710,96
Johnson_5dcd5,item15,510,24
Garcia_6967c,item16,780,36
Hill_bd6cc,item18,130,8
Kline_e724e,item6,900,30
Simpson_7383f,item18,130,8
Baker_4cd37,item12,450,24
Baker_4cd37,item5,370,24
Robertson_c09d4,item1,1270,36
Weaver_feb81,item15,510,24
Thomas_2a3b9,item4,1000,28
Thomas_2a3b9,item9,230,12
Martinez_bc0fc,item12,500,24
Simpson_7383f,item14,1910,96
Hopkins_56d12,item15,1710,72
Jimenez_5ed59,item2,910,48
Hill_bd6cc,item6,620,20
King_4ae33,item16,1020,54
Weaver_feb81,item5,180,12
Roy_57ef7,item13,760,40
Wagner_83f4e,item17,70,4
Robertson_c09d4,item13,690,40
Perez_7a5c3,item8,420,20
Hamilton_f2276,item1,580,18
Johnson_5dcd5,item20,380,20
Weaver_feb81,item3,580,20
Lee_d3d5c,item14,1760,96
Murray_8d3f7,item5,580,36
Kline_e724e,item9,230,12
Baker_4cd37,item5,550,36
Tran_40aaa,item10,520,24
Thomas_2a3b9,item11,340,16
Phillips_608c9,item16,1010,54
Martinez_bc0fc,item8,420,20
Shea_abeb3,item18,120,8
Freeman_35a3d,item2,1280,72
Bailey_255ab,item20,370,20
Johnson_5dcd5,item15,1160,48
Perez_7a5c3,item4,520,14
Jones_f903f,item9,330,18
Martinez_bc0fc,item4,1500,42
Wagner_83f4e,item2,900,48
Simpson_7383f,item4,560,14
Jones_f903f,item5,190,12
Murray_8d3f7,item18,260,16
Robertson_c09d4,item17,70,4
King_4ae33,item3,550,20
Kline_e724e,item6,960,30
Wagner_83f4e,item9,340,18
Flynn_066c3,item8,1320,60
Flynn_066c3,item9,240,12
Jones_cdd9f,item19,1630,48
Murray_8d3f7,item3,560,20
Jones_cdd9f,item12,720,36
Jones_cdd9f,item4,1100,28
Phillips_608c9,item17,130,8
King_4ae33,item19,1550,48
Robertson_c09d4,item7,120,8
Wilson_6845c,item4,1560,42
Flynn_066c3,item10,370,16
Phillips_608c9,item6,620,20
King_4ae33,item10,180,8
